State,Month,Lat,Long_,Incident_Rate,New_tests_per_month,New_cases_per_month
Alabama,4,32.32,-86.9,115.95,65613,3520
Alabama,5,32.32,-86.9,248.18,130357,11013
Alabama,6,32.32,-86.9,544.12,189099,20277
Alabama,7,32.32,-86.9,1262.07,282815,49789
Alabama,8,32.32,-86.9,2207.82,295820,38234
Alabama,9,32.32,-86.9,2882.95,146752,28272
Alabama,10,32.32,-86.9,3508.36,214214,38841
Alaska,4,61.37,-152.4,54.31,11081,83
Alaska,5,61.37,-152.4,58.56,32576,104
Alaska,6,61.37,-152.4,92.57,60490,478
Alaska,7,61.37,-152.4,245.19,120921,2053
Alaska,8,61.37,-152.4,576.75,115524,2273
Alaska,9,61.37,-152.4,885.56,108577,2561
Alaska,10,61.37,-152.4,1515.07,147000,8531
Arizona,4,33.73,-111.43,75.46,29677,4113
Arizona,5,33.73,-111.43,185.09,153420,12281
Arizona,6,33.73,-111.43,593.04,307150,59292
Arizona,7,33.73,-111.43,1818.44,401387,94782
Arizona,8,33.73,-111.43,2637.03,270686,27825
Arizona,9,33.73,-111.43,2893.87,253146,16672
Arizona,10,33.73,-111.43,3164.84,313978,27439
Arkansas,4,34.97,-92.37,89.15,28657,2001
Arkansas,5,34.97,-92.37,169.09,81136,3972
Arkansas,6,34.97,-92.37,444.2,181688,13524
Arkansas,7,34.97,-92.37,1039.54,192266,21734
Arkansas,8,34.97,-92.37,1746.53,223566,18713
Arkansas,9,34.97,-92.37,2393.63,302682,22473
Arkansas,10,34.97,-92.37,3233.82,317255,28493
California,4,36.12,-119.68,93.24,435009,27335
California,5,36.12,-119.68,201.68,1319511,61821
California,6,36.12,-119.68,412.62,2222291,119281
California,7,36.12,-119.68,922.79,3643902,269324
California,8,36.12,-119.68,1559.8,3562264,211919
California,9,36.12,-119.68,1949.03,3331897,106640
California,10,36.12,-119.68,2211.02,3897115,113028
Colorado,4,39.06,-105.31,194.73,36186,7977
Colorado,5,39.06,-105.31,373.1,109568,11094
Colorado,6,39.06,-105.31,513.08,143230,6337
Colorado,7,39.06,-105.31,679.55,202489,14094
Colorado,8,39.06,-105.31,916.64,476456,10615
Colorado,9,39.06,-105.31,1097.14,338378,13112
Colorado,10,39.06,-105.31,1477.15,622405,36814
Connecticut,4,41.6,-72.76,586.89,55913,15665
Connecticut,5,41.6,-72.76,1017.15,152913,14501
Connecticut,6,41.6,-72.76,1260.91,216348,4313
Connecticut,7,41.6,-72.76,1342.4,327602,3296
Connecticut,8,41.6,-72.76,1434.5,379100,3069
Connecticut,9,41.6,-72.76,1543.89,420897,4671
Connecticut,10,41.6,-72.76,1774.52,694591,13657
Delaware,4,39.32,-75.51,322.48,10717,3109
Delaware,5,39.32,-75.51,758.89,38851,4764
Delaware,6,39.32,-75.51,1070.08,50210,1976
Delaware,7,39.32,-75.51,1358.87,70166,3314
Delaware,8,39.32,-75.51,1667.97,55802,2641
Delaware,9,39.32,-75.51,1958.5,49713,3184
Delaware,10,39.32,-75.51,2340.63,268309,4338
Florida,4,27.77,-81.69,158.23,199652,13795
Florida,5,27.77,-81.69,210.58,638944,22473
Florida,6,27.77,-81.69,409.4,923646,96271
Florida,7,27.77,-81.69,1463.91,1683093,317952
Florida,8,27.77,-81.69,2623.89,987451,153085
Florida,9,27.77,-81.69,3120.84,685645,83045
Florida,10,27.77,-81.69,3496.33,4678164,96031
Georgia,4,33.04,-83.64,199.75,94591,13812
Georgia,5,33.04,-83.64,357.48,316481,20799
Georgia,6,33.04,-83.64,572.26,368353,34228
Georgia,7,33.04,-83.64,1248.87,740809,105061
Georgia,8,33.04,-83.64,2205.94,768947,84119
Georgia,9,33.04,-83.64,2802.56,590045,47555
Georgia,10,33.04,-83.64,3186.92,629003,42764
Hawaii,4,21.09,-157.5,40.74,12672,119
Hawaii,5,21.09,-157.5,44.98,23980,34
Hawaii,6,21.09,-157.5,53.35,23123,265
Hawaii,7,21.09,-157.5,95.63,43625,1194
Hawaii,8,21.09,-157.5,359.04,75351,6361
Hawaii,9,21.09,-157.5,765.16,99782,3938
Hawaii,10,21.09,-157.5,977.22,229529,2661
Idaho,4,44.24,-114.48,108.08,14385,577
Idaho,5,44.24,-114.48,140.19,18004,855
Idaho,6,44.24,-114.48,215.23,42606,3278
Idaho,7,44.24,-114.48,737.24,89807,14599
Idaho,8,44.24,-114.48,1522.42,76903,11365
Idaho,9,44.24,-114.48,2044.15,50693,9967
Idaho,10,44.24,-114.48,2931.68,77208,22560
Illinois,4,40.35,-88.99,303.87,169132,32066
Illinois,5,40.35,-88.99,735.84,628392,67342
Illinois,6,40.35,-88.99,1050.26,705759,22925
Illinois,7,40.35,-88.99,1263.68,1096831,36930
Illinois,8,40.35,-88.99,1643.2,1365014,56609
Illinois,9,40.35,-88.99,2114.27,1561448,58996
Illinois,10,40.35,-88.99,2719.44,2108793,120827
Indiana,4,39.85,-86.26,192.98,52509,9907
Indiana,5,39.85,-86.26,405.66,166548,16739
Indiana,6,39.85,-86.26,599.53,222650,11020
Indiana,7,39.85,-86.26,816.03,263187,20560
Indiana,8,39.85,-86.26,1192.32,329564,28042
Indiana,9,39.85,-86.26,1596.37,302903,25823
Indiana,10,39.85,-86.26,2162.16,1530767,59339
Iowa,4,42.01,-93.21,150.95,25075,5558
Iowa,5,42.01,-93.21,479.18,113629,12407
Iowa,6,42.01,-93.21,770.19,147892,9522
Iowa,7,42.01,-93.21,1177.1,170224,15679
Iowa,8,42.01,-93.21,1687.69,146460,20386
Iowa,9,42.01,-93.21,2442.65,143995,24108
Iowa,10,42.01,-93.21,3362.25,125565,39263
Kansas,4,38.53,-96.73,103.47,18373,3069
Kansas,5,38.53,-96.73,281.49,63323,5287
Kansas,6,38.53,-96.73,400.37,81776,4670
Kansas,7,38.53,-96.73,717.97,115782,12994
Kansas,8,38.53,-96.73,1182.84,120742,15235
Kansas,9,38.53,-96.73,1744.1,108201,18576
Kansas,10,38.53,-96.73,2397.5,121332,25768
Kentucky,4,37.67,-84.67,96.67,29534,2745
Kentucky,5,37.67,-84.67,183.37,159652,4996
Kentucky,6,37.67,-84.67,286.86,157181,5920
Kentucky,7,37.67,-84.67,489.94,216889,14527
Kentucky,8,37.67,-84.67,879.56,233497,18245
Kentucky,9,37.67,-84.67,1313.82,554667,20444
Kentucky,10,37.67,-84.67,1932.46,519666,38379
Louisiana,4,31.17,-91.87,540.73,57264,7406
Louisiana,5,31.17,-91.87,737.4,213800,11915
Louisiana,6,31.17,-91.87,1027.24,353402,18179
Louisiana,7,31.17,-91.87,1868.78,613732,58185
Louisiana,8,31.17,-91.87,2929.08,530546,31913
Louisiana,9,31.17,-91.87,3403.86,445815,17840
Louisiana,10,31.17,-91.87,3756.39,445067,16237
Maine,4,44.69,-69.38,77.16,13920,462
Maine,5,44.69,-69.38,131.14,28968,1230
Maine,6,44.69,-69.38,208.45,45343,928
Maine,7,44.69,-69.38,268.85,72215,659
Maine,8,44.69,-69.38,311.85,95768,617
Maine,9,44.69,-69.38,367.53,172165,860
Maine,10,44.69,-69.38,439.94,188411,1273
Maryland,4,39.06,-76.8,251.93,64595,13517
Maryland,5,39.06,-76.8,634.79,187522,31036
Maryland,6,39.06,-76.8,1019.18,233974,14781
Maryland,7,39.06,-76.8,1267,375336,20787
Maryland,8,39.06,-76.8,1647.14,419662,19903
Maryland,9,39.06,-76.8,1939.89,287154,16476
Maryland,10,39.06,-76.8,2226.37,1804655,20556
Massachusetts,4,42.23,-71.53,640.01,158917,36730
Massachusetts,5,42.23,-71.53,1210.56,317206,34760
Massachusetts,6,42.23,-71.53,1530.58,255288,11917
Massachusetts,7,42.23,-71.53,1637.14,340289,8730
Massachusetts,8,42.23,-71.53,1789.39,554087,10921
Massachusetts,9,42.23,-71.53,1834.72,2308100,3583
Massachusetts,10,42.23,-71.53,2082.26,2052544,26460
Michigan,4,43.33,-84.54,422.85,100830,17135
Michigan,5,43.33,-84.54,552.69,374363,16018
Michigan,6,43.33,-84.54,654.93,490427,13331
Michigan,7,43.33,-84.54,800.77,799390,19846
Michigan,8,43.33,-84.54,1020.92,919984,22451
Michigan,9,43.33,-84.54,1255.74,883431,24989
Michigan,10,43.33,-84.54,1616.19,1263730,59392
Minnesota,4,45.69,-93.9,58.71,32855,3515
Minnesota,5,45.69,-93.9,278.12,179243,19714
Minnesota,6,45.69,-93.9,546.43,355797,11453
Minnesota,7,45.69,-93.9,793.61,229038,18160
Minnesota,8,45.69,-93.9,1154.79,293669,21401
Minnesota,9,45.69,-93.9,1541.01,902144,23270
Minnesota,10,45.69,-93.9,2138.76,778966,49338
Mississippi,4,32.74,-89.68,167.35,44927,4034
Mississippi,5,32.74,-89.68,376.4,105497,8708
Mississippi,6,32.74,-89.68,686.78,127854,11724
Mississippi,7,32.74,-89.68,1385.59,154814,31500
Mississippi,8,32.74,-89.68,2422.98,119360,24203
Mississippi,9,32.74,-89.68,3062.32,163168,15240
Mississippi,10,32.74,-89.68,3657.5,187391,21970
Missouri,4,38.46,-92.29,105.94,35487,3549
Missouri,5,38.46,-92.29,180.95,112874,5620
Missouri,6,38.46,-92.29,278.55,179446,7563
Missouri,7,38.46,-92.29,534.21,313766,29615
Missouri,8,38.46,-92.29,1106.08,296182,35019
Missouri,9,38.46,-92.29,1751.56,321430,41080
Missouri,10,38.46,-92.29,2526.95,1213165,59277
Montana,4,46.92,-110.45,49.94,5001,66
Montana,5,46.92,-110.45,48.21,25884,62
Montana,6,46.92,-110.45,61.71,51063,452
Montana,7,46.92,-110.45,212.9,79109,2998
Montana,8,46.92,-110.45,533.58,80268,3456
Montana,9,46.92,-110.45,913.53,92920,5650
Montana,10,46.92,-110.45,2060.72,155757,19730
Nebraska,4,41.13,-98.27,137.97,14630,3490
Nebraska,5,41.13,-98.27,548.72,75821,9820
Nebraska,6,41.13,-98.27,875.86,77015,5076
Nebraska,7,41.13,-98.27,1152.4,92799,7034
