location,dates,month,new_cases_per_million,new_deaths,new_deaths_per_million,new_cases
World,22,1,0,0,0,0
World,23,1,0.01,1,0,99
World,24,1,0.04,8,0,287
World,25,1,0.06,16,0,493
World,26,1,0.09,14,0,684
World,27,1,0.1,26,0,809
World,28,1,0.34,49,0.01,2651
World,29,1,0.08,2,0,589
World,30,1,0.26,38,0,2068
World,31,1,0.22,42,0,1692
World,1,2,0.27,46,0.01,2111
World,2,2,0.61,103,0.01,4749
World,3,2,0.4,64,0.01,3100
World,4,2,0.52,66,0.01,4011
World,5,2,0.48,72,0.01,3745
World,6,2,0.4,70,0.01,3160
World,7,2,0.46,85,0.01,3593
World,8,2,0.35,87,0.01,2734
World,9,2,0.39,100,0.01,3030
World,10,2,0.34,107,0.01,2609
World,11,2,0.26,100,0.01,2042
World,12,2,0.05,5,0,418
World,13,2,1.94,253,0.03,15153
World,14,2,0.84,152,0.02,6527
World,15,2,0.28,143,0.02,2142
World,16,2,0.28,104,0.01,2184
World,17,2,0.26,98,0.01,2035
World,18,2,0.24,140,0.02,1882
World,19,2,0.06,115,0.02,500
World,20,2,0.07,125,0.02,560
World,21,2,0.08,4,0,629
World,22,2,0.23,207,0.03,1761
World,23,2,0.05,11,0,380
World,24,2,0.07,160,0.02,564
World,25,2,0.11,80,0.01,853
World,26,2,0.12,61,0.01,977
World,27,2,0.17,43,0.01,1360
World,28,2,0.18,59,0.01,1387
World,29,2,0.24,69,0.01,1890
World,1,3,0.3,54,0.01,2381
World,2,3,0.25,89,0.01,1983
World,3,3,0.33,75,0.01,2594
World,4,3,0.3,95,0.01,2308
World,5,3,0.36,94,0.01,2811
World,6,3,0.5,111,0.01,3913
World,7,3,0.52,104,0.01,4095
World,8,3,0.51,239,0.03,3949
World,9,3,0.54,190,0.02,4172
World,10,3,0.62,274,0.04,4822
World,11,3,0.98,344,0.04,7661
World,12,3,0.74,306,0.04,5790
World,13,3,1.85,497,0.06,14387
World,14,3,1.42,420,0.05,11073
World,15,3,1.45,636,0.08,11270
World,16,3,1.9,683,0.09,14810
World,17,3,2.04,811,0.1,15944
World,18,3,2.51,902,0.12,19559
World,19,3,3.47,1112,0.14,27049
World,20,3,3.95,1482,0.19,30777
World,21,3,4.11,1722,0.22,32002
World,22,3,4.47,1675,0.22,34831
World,23,3,5.5,1941,0.25,42851
World,24,3,5.28,2285,0.29,41160
World,25,3,6.54,2799,0.36,51018
World,26,3,8.06,3020,0.39,62830
World,27,3,8.35,3494,0.45,65061
World,28,3,8.63,3716,0.48,67246
World,29,3,7.6,3476,0.45,59252
World,30,3,8.38,4052,0.52,65278
World,31,3,9.86,4749,0.61,76849
World,1,4,9.81,5955,0.76,76433
World,2,4,10.42,5853,0.75,81216
World,3,4,10.68,6122,0.78,83230
World,4,4,7.57,6171,0.79,59011
World,5,4,9.1,5183,0.66,70920
World,6,4,9.23,5926,0.76,71933
World,7,4,9.04,8234,1.06,70474
World,8,4,10.82,6748,0.87,84353
World,9,4,10.99,7747,0.99,85668
World,10,4,10.86,7389,0.95,84610
World,11,4,9.56,6239,0.8,74486
World,12,4,15.31,5827,0.75,119366
World,13,4,8.93,5922,0.76,69619
World,14,4,10.74,6970,0.89,83735
World,15,4,10.5,8348,1.07,81874
World,16,4,12.44,7279,0.93,96926
World,17,4,11.24,8360,1.07,87632
World,18,4,9.91,6024,0.77,77282
World,19,4,9.78,5260,0.68,76197
World,20,4,9.58,5876,0.75,74643
World,21,4,9.73,7181,0.92,75845
World,22,4,10.48,6718,0.86,81693
World,23,4,10.76,6825,0.88,83890
World,24,4,10.98,6668,0.86,85550
World,25,4,10.7,5637,0.72,83378
World,26,4,9.23,3951,0.51,71930
World,27,4,8.94,4670,0.6,69677
World,28,4,9.69,6529,0.84,75508
World,29,4,10.07,6726,0.86,78485
World,30,4,10.76,5989,0.77,83833
World,1,5,11.25,5155,0.66,87718
World,2,5,10.21,5513,0.71,79579
World,3,5,9.81,3484,0.45,76472
World,4,5,9.88,4106,0.53,76999
World,5,5,10.32,5872,0.75,80481
World,6,5,11.62,6548,0.84,90543
World,7,5,11.42,5291,0.68,89058
World,8,5,11.59,5473,0.7,90374
World,9,5,10.89,4281,0.55,84870
World,10,5,9.64,3604,0.46,75165
World,11,5,9.85,3463,0.44,76767
World,12,5,10.8,5525,0.71,84218
World,13,5,10.98,5070,0.65,85546
World,14,5,12.37,5190,0.67,96439
World,15,5,12.35,5118,0.66,96264
World,16,5,12.14,4274,0.55,94626
World,17,5,9.97,3197,0.41,77708
World,18,5,11.39,3701,0.48,88793
World,19,5,12.43,4691,0.6,96869
World,20,5,13.1,4760,0.61,102090
World,21,5,13.7,4719,0.6,106822
World,22,5,13.64,5267,0.68,106332
World,23,5,13.44,3968,0.51,104782
World,24,5,12.05,3009,0.39,93949
World,25,5,11.08,1199,0.15,86397
World,26,5,12.03,4180,0.54,93741
World,27,5,13.21,5063,0.65,102988
World,28,5,15.33,4616,0.59,119517
World,29,5,15.52,4594,0.59,120979
World,30,5,17.57,4062,0.52,136960
World,31,5,13.67,2983,0.38,106523
World,1,6,12.25,3085,0.4,95490
World,2,6,15.61,4712,0.6,121678
World,3,6,14.7,5435,0.7,114551
World,4,6,16.75,5126,0.66,130564
World,5,6,16.85,4552,0.58,131308
World,6,6,17.21,3853,0.49,134177
World,7,6,14.36,2752,0.35,111896
World,8,6,13.16,3688,0.47,102556
World,9,6,16.02,4825,0.62,124863
World,10,6,17.33,5058,0.65,135108
World,11,6,17.68,4677,0.6,137802
World,12,6,16.5,4213,0.54,128654
World,13,6,17.36,4188,0.54,135323
World,14,6,17,3417,0.44,132477
World,15,6,15.32,3419,0.44,119397
World,16,6,18.22,6721,0.86,142043
World,17,6,18.39,5093,0.65,143318
World,18,6,17.99,4965,0.64,140253
World,19,6,23.06,6148,0.79,179761
World,20,6,20.1,4202,0.54,156659
World,21,6,16.43,4010,0.51,128037
World,22,6,17.74,3559,0.46,138252
World,23,6,21.29,5219,0.67,165978
World,24,6,21.96,5176,0.66,171169
World,25,6,22.9,4694,0.6,178516
World,26,6,24.54,4710,0.6,191276
World,27,6,22.78,4480,0.57,177606
World,28,6,20.97,3149,0.4,163467
World,29,6,19.8,3730,0.48,154334
World,30,6,22.32,4933,0.63,173994
World,1,7,27.91,4928,0.63,217545
World,2,7,26.8,5066,0.65,208891
World,3,7,25.87,4935,0.63,201627
World,4,7,24.88,4385,0.56,193957
World,5,7,23.48,3483,0.45,183053
World,6,7,21.1,3837,0.49,164494
World,7,7,27.14,6007,0.77,211557
World,8,7,27.44,5298,0.68,213904
World,9,7,29.1,5380,0.69,226823
World,10,7,29.82,5286,0.68,232448
World,11,7,27.89,4810,0.62,217376
World,12,7,24.7,3991,0.51,192516
World,13,7,24.48,3893,0.5,190779
World,14,7,28.45,5579,0.72,221772
World,15,7,29.71,5409,0.69,231602
World,16,7,32.33,5772,0.74,251997
World,17,7,31.09,6643,0.85,242325
World,18,7,30.31,5619,0.72,236275
World,19,7,27.4,4075,0.52,213597
World,20,7,26.46,4196,0.54,206237
World,21,7,29.93,6169,0.79,233265
World,22,7,36.1,6919,0.89,281427
World,23,7,36.29,9901,1.27,282888
World,24,7,36.08,6053,0.78,281214
World,25,7,32.63,5530,0.71,254379
World,26,7,27.31,3694,0.47,212881
World,27,7,28.97,5180,0.66,225792
World,28,7,32.33,6287,0.81,251987
World,29,7,37.41,6587,0.84,291630
World,30,7,35.97,6034,0.77,280412
World,31,7,37.33,6207,0.8,290939
World,1,8,31.94,5466,0.7,248924
World,2,8,29.7,4312,0.55,231529
World,3,8,26.38,4663,0.6,205650
World,4,8,32.9,6602,0.85,256437
World,5,8,35.49,7006,0.9,276675
World,6,8,36.58,6462,0.83,285163
World,7,8,36.12,6295,0.81,281565
World,8,8,33.16,5430,0.7,258493
World,9,8,28.91,4577,0.59,225334
World,10,8,29.12,5259,0.68,226966
World,11,8,32.92,6210,0.8,256584
World,12,8,35.6,6599,0.85,277494
World,13,8,37.18,6209,0.8,289801
World,14,8,38.88,10128,1.3,303096
World,15,8,31.73,5388,0.69,247362
World,16,8,27.74,4218,0.54,216191
World,17,8,26.66,4144,0.53,207814
World,18,8,33.13,6887,0.88,258259
World,19,8,35.92,6704,0.86,279966
